sku	name	weight	height	width	depth
9319871000943	White Glo Charcoal Deep Stain Remover 150g	0	0	0	0
9319871000042	White Glo Professional Choice Whitening Toothpaste 150g	0	0	0	0
/9313501311591	Blistex Hemp & Shea Hydration 4.25g	0	0	0	0
9316774150003	Bonvit Gelatine Capsule Size 00 100 Capsules	0	0	0	0
9316774151000	Bonvit Psyllium Husks 500g	0	0	0	0
9316774173002	Bonvit Vege Capsule Size 00 100 Capsules	0	0	0	0
9349228003501	Peppermint Grove Bath Salts Lemongrass & Lime	400	0	0	0
9310130044982	Benefiber Original 155g	0	0	0	0
9310130044999	Benefiber Original 261g	0	0	0	0
9310130108509	Benefiber On-The-Go Stick Packs 28 Pack	0	0	0	0
/3504105033989	Mustela Stelatopia Cleansing Cream 200ml	0	0	0	0
9330944000677	Powrgard Univers Mouthguard 8 Years-Adult Black	0	0	0	0
9330944000691	Powrgard Univers Mouthguard 8 Years-Adult Clear	0	0	0	0
9421033251077	Topiderm Urea 10% Cream 100g	0	0	0	0
9341394018815	Aero Healthcare AEROMASK Level 2 Surgical Mask 50 Pack	0	0	0	0
9341394025806	Aero Healthcare AEROMASK Childrens Surgical Mask 50 Pack	0	0	0	0
3323036002761	AKILEINE Cold Feet Cream 75ml	0	0	0	0
4895125918653	Basicare Duo Ear Wax Cleaner	0	0	0	0
7350087736204	E45 Itch Recovery Moisturising Lotion 500ml	0	0	0	0
9333583010540	Gold Cross Calamine Lotion Spray 200ml	0	0	0	0
/9312657300237	Jack N' Jill Blissful Bubbles Bubble Bath 300ml	0	0	0	0
/7612367073646	Medela Harmony Essentials Pack Manual Breast Pump	0	0	0	0
/20451432830	Medela Silicone Breast Milk Collector	0	0	0	0
3056560100015	Sophie the Giraffe Silicone Meal Set	0	0	0	0
/5011522155029	Eylure 18 Hour Lash Glue Clear 4.5ml	0	0	0	0
345330220491	Manicare Glam Eyelash Adhesive 1ml	0	0	0	0
9329221223687	Manicare Glam Xpress Black Adhesive Eyeliner 0.8ml	0	0	0	0
047144055299	Bausch + Lomb Boston Rewetting Drops 10ml	0	0	0	0
047144054315	Bausch + Lomb Boston Simplus Multi-Action Solution 120ml	0	0	0	0
/9330139102735	Plunkett's Dry Skin Relief Premium Sorbolene 100g	0	0	0	0
9300632087273	Colgate Optic White Expert High Impact 85g	0	0	0	0
7509546079325	Colgate Optic White Stain-Less White 85g	0	0	0	0
93369374	SM-33 Adult Formula Liquid 10ml	0	0	0	0
/5060163210802	BioRevive SilicolGel 200ml	0	0	0	0
9310320003805	Dencorub Pain Relieving Heat Patches 6 Pack	0	0	0	0
9369998017843	BakPhysio BakRoller	0	0	0	0
9314889620374	New Beginnings Washable Bamboo Breast Pads 8 Pack	0	0	0	0
5035883000712	SleepDoctor Snoring Relief Nasal Strips 12 Pack Small	0	0	0	0
