sku,name,on_web,soh_web,price,petrie,bunda,con,franklin,web,total,is_deleted_minfos,is_deleted,is_visible,is_retired,num_tiggles,bcid
5055918626069,PUSHEEN - TRAVEL MUG,FALSE,0,14.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
45544954457,\EASTER19 PUSHEEN TIN EGG ORMNT EGG HUNT,FALSE,0,7.95,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,0,
5055918643684,PUSHEEN - WILD SIDE KEYRING POMPOM,FALSE,0,19.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055918654468,PUSHEEN - TIE DYE MINI BACKPACK,FALSE,0,22.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399069330,PUSHEEN - PLUSH SML 15CM,FALSE,0,22.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399121649,PUSHEEN - DRAGONPIP 15CM,FALSE,0,39.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055071771033,PUSHEEN - TRAVEL PILLOW,FALSE,0,24.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055918649198,PUSHEEN PENCIL CASE CUTE & FIERCE,FALSE,0,19.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055918640522,PUSHEEN - PENCIL CASE CUTE STUFF,FALSE,0,16.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
778988345344,PUSHEEN - SQUISHY TIRAMISU,FALSE,0,24.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399112364,PUSHEEN - COIN PURSE PUSHEENOSAURUS,FALSE,0,19.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
778988433799,PUSHEEN - MEOWSHMALLOWS IN PLUSH BAG,FALSE,0,69.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
28399089314,PUSHEEN - MERMAID 33CM,FALSE,0,54.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
45544958370,PUSHEEN - DISH PUSHEENICORN,FALSE,0,24.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055918654482,PUSHEEN - KEYRING 3D CHARMS TIE DYE,FALSE,0,19.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
5055918649143,PUSHEEN - WATER BTTLE CUTE & FIERCE,FALSE,0,19.95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,
